Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,Date,Equity,Peak,Drawdown
2025-12-07 02:33:24,4445445974,Step Index 500.0,buy,out,0.63,6232.1,4453634166,-1.37,0,0,37.8,10035.05,[sl 6232.1],2025-12-07,37.8,37.8,0.0
2025-12-07 08:08:58,4445588611,Step Index 500.0,buy,out,0.46,6183.1,4453785509,-1.0,0,0,27.6,10060.65,[sl 6183.1],2025-12-07,65.4,65.4,0.0
2025-12-07 18:14:24,4445979762,Step Index 400.0,sell,out,0.6,7644.9,4454181699,-1.28,0,0,-100.8,9957.28,[sl 7645.1],2025-12-07,-100.8,-100.8,0.0
2025-12-07 18:44:53,4446000221,Step Index 400.0,sell,out,0.5,7670.1,4454202293,-1.07,0,0,38.0,9991.16,[sl 7670.4],2025-12-07,-62.8,-62.8,0.0
2025-12-07 18:45:38,4446000873,Step Index 400.0,sell,out,0.44,7673.7,4454202946,-0.95,0,0,35.2,10025.41,[sl 7674.0],2025-12-07,-27.599999999999994,-27.599999999999994,0.0
2025-12-07 18:46:48,4446001688,Step Index 300.0,buy,out,0.45,10990.7,4454203754,-1.04,0,0,37.8,10062.17,[sl 10990.5],2025-12-07,37.8,37.8,0.0
2025-12-07 21:20:59,4446107754,Step Index 300.0,buy,out,0.62,10994.0,4454309682,-1.43,0,0,31.62,10090.93,[sl 10993.8],2025-12-07,69.42,69.42,0.0
2025-12-08 00:55:17,4446219814,Step Index 200.0,buy,out,0.48,10573.9,4454425385,-0.71,0,0,29.76,10118.51,[sl 10573.8],2025-12-08,29.76,29.76,0.0
2025-12-08 00:55:17,4446219815,Step Index 200.0,buy,out,0.51,10573.9,4454425386,-0.75,0,0,37.74,10155.5,[sl 10573.8],2025-12-08,67.5,67.5,0.0
2025-12-08 01:22:59,4446235281,Step Index 400.0,sell,out,0.64,7737.3,4454441110,-1.39,0,0,48.64,10200.04,[sl 7737.6],2025-12-08,21.040000000000006,21.040000000000006,0.0
2025-12-08 01:22:59,4446235282,Step Index 400.0,sell,out,0.61,7737.3,4454441111,-1.32,0,0,31.72,10230.44,[sl 7737.6],2025-12-08,52.760000000000005,52.760000000000005,0.0
2025-12-08 03:42:48,4446307405,Step Index 300.0,buy,out,0.68,10894.7,4454514760,-1.56,0,0,51.0,10278.32,[sl 10894.5],2025-12-08,120.42,120.42,0.0
2025-12-08 07:52:35,4446463618,Step Index 300.0,buy,out,0.56,10880.6,4454674475,-1.28,0,0,28.56,10303.04,[sl 10880.4],2025-12-08,148.98,148.98,0.0
2025-12-08 07:54:32,4446465247,Step Index 300.0,buy,out,0.56,10877.9,4454676117,-1.28,0,0,43.68,10345.44,[sl 10877.7],2025-12-08,192.66,192.66,0.0
2025-12-08 17:40:20,4446993502,Step Index.0,buy,out,0.66,8028.8,4455211783,-0.37,0,0,66.0,10410.35,[sl 8028.8],2025-12-08,66.0,66.0,0.0
2025-12-08 17:40:23,4446993530,Step Index.0,buy,out,0.63,8028.9,4455211809,-0.35,0,0,47.25,10457.25,[sl 8028.9],2025-12-08,113.25,113.25,0.0
2025-12-09 00:49:24,4447250534,Step Index 300.0,buy,out,0.55,10771.7,4455470336,-1.24,0,0,79.2,10533.96,[sl 10771.5],2025-12-09,271.86,271.86,0.0
2025-12-09 04:06:42,4447354147,Step Index 400.0,buy,out,0.6,7540.1,4455574975,-1.27,0,0,-105.6,10425.83,[sl 7539.8],2025-12-09,-52.83999999999999,52.760000000000005,-105.6
2025-12-09 08:15:43,4447503993,Step Index.0,sell,out,0.59,8066.7,4455726803,-0.33,0,0,40.71,10464.98,[sl 8066.7],2025-12-09,153.96,153.96,0.0
2025-12-09 08:59:43,4447535424,Step Index 200.0,buy,out,0.61,10494.3,4455758721,-0.9,0,0,32.94,10496.17,[sl 10494.2],2025-12-09,100.44,100.44,0.0
2025-12-09 09:01:16,4447536578,Step Index 200.0,buy,out,0.58,10492.9,4455759848,-0.85,0,0,34.8,10530.12,[sl 10492.8],2025-12-09,135.24,135.24,0.0
2025-12-09 12:42:54,4447709841,Step Index 500.0,sell,out,0.71,6118.1,4455934370,-1.52,0,0,-110.05,10416.27,[sl 6118.5],2025-12-09,-44.650000000000006,65.4,-110.05000000000001
2025-12-09 13:18:13,4447736692,Step Index 400.0,buy,out,0.65,7486.1,4455961528,-1.36,0,0,33.8,10447.35,[sl 7485.8],2025-12-09,-19.039999999999992,52.760000000000005,-71.8
2025-12-09 14:32:48,4447800587,Step Index 400.0,buy,out,0.59,7476.9,4456025776,-1.24,0,0,70.8,10514.45,[sl 7476.6],2025-12-09,51.760000000000005,52.760000000000005,-1.0
2025-12-09 14:32:48,4447800588,Step Index 400.0,buy,out,0.58,7476.9,4456025777,-1.21,0,0,69.6,10582.84,[sl 7476.6],2025-12-09,121.36,121.36,0.0
2025-12-09 15:53:50,4447885909,Step Index.0,sell,out,0.67,8055.8,4456112289,-0.38,0,0,-104.52,10477.94,[sl 8055.8],2025-12-09,49.44,153.96,-104.52000000000001
2025-12-09 16:05:26,4447898942,Step Index.0,sell,out,0.67,8054.6,4456125345,-0.38,0,0,-104.52,10373.04,[sl 8054.6],2025-12-09,-55.08,153.96,-209.04000000000002
2025-12-09 23:13:35,4448186115,Step Index 500.0,sell,out,0.52,6294.6,4456414669,-1.15,0,0,28.6,10398.99,[sl 6294.6],2025-12-09,-16.050000000000004,65.4,-81.45000000000002
2025-12-09 23:33:12,4448194656,Step Index.0,buy,out,0.64,8035.8,4456423269,-0.36,0,0,43.52,10442.15,[sl 8035.8],2025-12-09,-11.559999999999995,153.96,-165.52
2025-12-10 08:03:07,4448423054,Step Index 300.0,buy,out,0.67,10790.0,4456656356,-1.52,0,0,118.59,10557.33,[sl 10789.8],2025-12-10,390.45,390.45,0.0
2025-12-10 09:40:16,4448491421,Step Index.0,buy,out,0.62,8009.2,4456725382,-0.35,0,0,40.92,10720.24,[sl 8009.2],2025-12-10,29.360000000000007,153.96,-124.6
2025-12-10 09:40:16,4448491419,Step Index.0,buy,out,0.66,8009.2,4456725380,-0.37,0,0,68.64,10624.86,[sl 8009.2],2025-12-10,98.0,153.96,-55.96000000000001
2025-12-10 09:40:16,4448491420,Step Index.0,buy,out,0.69,8009.2,4456725381,-0.39,0,0,55.2,10679.67,[sl 8009.2],2025-12-10,153.20000000000002,153.96,-0.7599999999999909
2025-12-10 18:45:13,4448906911,Step Index 200.0,buy,out,0.67,10468.3,4457144503,-0.98,0,0,-108.54,10608.74,[sl 10468.3],2025-12-10,26.69999999999999,135.24,-108.54000000000002
2025-12-10 18:45:18,4448907015,Step Index 200.0,buy,out,0.68,10468.5,4457144612,-1.0,0,0,-106.08,10501.66,[sl 10468.5],2025-12-10,-79.38000000000001,135.24,-214.62
2025-12-12 23:34:24,4450886733,Step Index 300.0,sell,out,0.63,10676.9,4459161804,-1.41,0,0,37.8,10535.45,[sl 10677.1],2025-12-12,428.25,428.25,0.0
2025-12-12 23:34:58,4450886841,Step Index 300.0,sell,out,0.53,10677.5,4459161917,-1.19,0,0,28.62,10562.88,[sl 10677.7],2025-12-12,456.87,456.87,0.0
2025-12-13 02:59:01,4450938425,Step Index 300.0,sell,out,0.65,10694.0,4459215070,-1.46,0,0,40.95,10599.63,[sl 10694.2],2025-12-13,497.82,497.82,0.0
2025-12-13 03:51:08,4450951027,Step Index 300.0,sell,out,0.57,10727.3,4459227961,-1.28,0,0,212.04,10810.39,[tp 10727.2],2025-12-13,709.86,709.86,0.0
2025-12-13 11:59:45,4451185597,Step Index 500.0,buy,out,0.68,6018.6,4459465605,-1.43,0,0,37.4,10844.18,[sl 6018.6],2025-12-13,21.349999999999994,65.4,-44.05000000000001
2025-12-13 12:10:32,4451192159,Step Index 500.0,buy,out,0.49,6040.1,4459472255,-1.04,0,0,-107.8,10734.31,[sl 6039.9],2025-12-13,-86.45,65.4,-151.85000000000002
2025-12-13 12:23:42,4451199171,Step Index.0,buy,out,0.65,7929.0,4459479380,-0.36,0,0,40.3,10774.25,[sl 7929.0],2025-12-13,193.5,193.5,0.0
2025-12-13 12:23:42,4451199172,Step Index.0,buy,out,0.7,7929.0,4459479381,-0.39,0,0,43.4,10817.26,[sl 7929.0],2025-12-13,236.9,236.9,0.0
2025-12-13 21:57:12,4451525362,Step Index 400.0,sell,out,0.48,7933.7,4459809990,-1.07,0,0,-107.52,10707.6,[sl 7933.8],2025-12-13,13.840000000000003,121.36,-107.52
2025-12-13 22:11:13,4451532520,Step Index 400.0,sell,out,0.63,7957.3,4459817228,-1.4,0,0,52.92,10757.72,[sl 7957.6],2025-12-13,66.76,121.36,-54.599999999999994
2025-12-14 05:29:41,4451672797,Step Index 500.0,buy,out,0.45,6045.6,4459961217,-0.95,0,0,-105.75,10648.35,[sl 6045.5],2025-12-14,-192.2,65.4,-257.6
2025-12-14 06:41:52,4451703617,Step Index 200.0,buy,out,0.66,10551.3,4459992418,-0.97,0,0,-105.6,10540.83,[sl 10551.2],2025-12-14,-184.98000000000002,135.24,-320.22
2025-12-14 07:05:25,4451713246,Step Index 300.0,buy,out,0.42,10745.0,4460002238,-0.95,0,0,25.2,10565.08,[sl 10744.8],2025-12-14,735.0600000000001,735.0600000000001,0.0
2025-12-14 08:36:18,4451758451,Step Index 500.0,buy,out,0.63,6011.1,4460048184,-1.33,0,0,72.45,10634.87,[sl 6011.1],2025-12-14,-119.75,65.4,-185.15
2025-12-14 09:17:41,4451777674,Step Index 500.0,buy,out,0.52,6002.6,4460067676,-1.09,0,0,65.0,10697.69,[sl 6002.6],2025-12-14,-54.75,65.4,-120.15
2025-12-14 10:34:46,4451818192,Step Index 400.0,sell,out,0.83,8081.7,4460108647,-1.88,0,0,66.4,10759.0,[sl 8082.0],2025-12-14,133.16000000000003,133.16000000000003,0.0
2025-12-14 11:26:57,4451850350,Step Index 300.0,buy,out,0.59,10733.0,4460141350,-1.33,0,0,58.41,10816.08,[sl 10732.8],2025-12-14,793.47,793.47,0.0
2025-12-14 13:08:32,4451908273,Step Index.0,buy,out,0.67,7891.4,4460200975,-0.37,0,0,65.66,10881.37,[sl 7891.4],2025-12-14,302.56,302.56,0.0
2025-12-14 13:08:32,4451908274,Step Index.0,buy,out,0.69,7891.4,4460200976,-0.38,0,0,60.72,10941.71,[sl 7891.4],2025-12-14,363.28,363.28,0.0
2025-12-14 14:39:53,4451958614,Step Index 200.0,sell,out,0.63,10579.9,4460252210,-0.93,0,0,39.06,10977.87,[sl 10580.0],2025-12-14,-145.92000000000002,135.24,-281.16
2025-12-14 14:41:44,4451959577,Step Index 200.0,sell,out,0.7,10579.7,4460253239,-1.04,0,0,47.6,11024.43,[sl 10579.8],2025-12-14,-98.32,135.24,-233.56
2025-12-14 17:41:41,4452070241,Step Index 200.0,sell,out,0.67,10586.7,4460367531,-0.99,0,0,40.2,11061.66,[sl 10586.8],2025-12-14,-58.12,135.24,-193.36
2025-12-14 17:41:41,4452070242,Step Index 200.0,sell,out,0.67,10586.7,4460367532,-0.99,0,0,52.26,11112.93,[sl 10586.8],2025-12-14,-5.859999999999999,135.24,-141.10000000000002
2025-12-15 03:20:41,4452348165,Step Index 200.0,sell,out,0.68,10593.1,4460662969,-1.01,0,0,50.32,11161.23,[sl 10593.2],2025-12-15,44.46,135.24,-90.78
2025-12-15 04:13:19,4452369250,Step Index 300.0,buy,out,0.47,10689.2,4460686363,-1.06,0,0,23.97,11183.08,[sl 10689.0],2025-12-15,817.44,817.44,0.0
2025-12-15 06:30:57,4452436217,Step Index 300.0,buy,out,0.73,10687.4,4460758857,-1.64,0,0,94.17,11272.71,[sl 10687.2],2025-12-15,911.61,911.61,0.0
2025-12-15 06:30:57,4452436218,Step Index 300.0,buy,out,0.56,10687.4,4460758858,-1.26,0,0,52.08,11323.53,[sl 10687.2],2025-12-15,963.69,963.69,0.0
